PRODCODE,BARCODE
C05020190,1700400029
C03540520,1700400030
C03040520,1700400031
C05122900,1700400032
C12130090,1700400033
C05752170,1700400034
C06410100,1700400035
C05910520,1700400036
C05321460,1700400037
C11110490,1700400038
C07200760,1700400039
C05413930,1700400040
C05413940,1700400041
C05413950,1700400042
C03721040,1700400043
C06630150,1700400044
C08241760,1700400045
C11310420,1700400046
C11310410,1700400047
C05414000,1700400048
C08110910,1700400049
C05124080,1700400050
C05124090,1700400051
C05124100,1700400052
C05124110,1700400053
C05124130,1700400054
C05124140,1700400055
C05124120,1700400056
C03721080,1700400057
C05414010,1700400058
C05414020,1700400059
C05414030,1700400060
C06620820,1700400061
C11110650,1700400062
C08110930,1700400063
C05124040,1700400064
C05124050,1700400065
C05124060,1700400066
C05124070,1700400067
C01510410,1700400068
C08221330,1700400069
C08221360,1700400070
C04260500,1700400071
C04260550,1700400072
C08211240,1700400073
C08241300,1700400074
C08241880,1700400075
C08241890,1700400076
C08241910,1700400077
C08241920,1700400078
C08241930,1700400079
C08241940,1700400080
C08241950,1700400081
C08241960,1700400082
C08241970,1700400083
C08241980,1700400084
C08241900,1700400085
C08221370,1700400086
C06640620,1700400087
C06640630,1700400088
C01641330,1700400089
C06511030,1700400090
C07261140,1700400091
C04260510,1700400092
C04260540,1700400093
C03721050,1700400094
C10410090,1700400095
C07200770,1700400096
C12130070,1700400097
C10420020,1700400098
C01510400,1700400099
C08211260,1700400100
C10420180,1700400101
C04350120,1700400102
C06620020,1700400103
C06122830,1700400104
C04333750,1700400105
C05122920,1700400106
A8858741705560A,1700400107
C06410230,1700400108
C06111510,1700400109
C05123790,1700400110
C01613790,1700400111
C04220230,1700400112
C02514100,1700400113
C02514150,1700400114
C04220590,1700400115
C04220600,1700400116
C04220610,1700400117
C04350150,1700400118
C06120050,1700400119
C08242030,1700400120
C08211290,1700400121
C06630170,1700400122
C01720500,1700400123
C10320140,1700400124
C11610410,1700400125
C01613540,1700400126
C03823420,1700400127
C03823440,1700400128
C05910530,1700400129
C06180930,1700700001
C06180940,1700700002
C06111320,1700700003
C05420270,1700700004
C08110880,1700700005
C03824580,1700700006
C03320030,1700700007
C03320030,1700700008
C02113000,1700700009
C02113010,1700700010
C02514170,1700700011
C03850650,1700700012
C03823390,1700700013
C08110940,1700700014
C08211250,1700700015
C08211230,1700700016
C07260370,1700700017
000208900808412652,1701100001
000208010701412652,1701100002
000208780701222412,1701100003
000208900704912652,1800200001
000208780801372492,1800200002
C04220080,1800400001
C03012750,1800400002
C05124170,1800400003
C04350130,1800400004
C06181370,1800400005
C05510150,1800400006
C06121350,1800400007
C03120780,1800400008
C03010270,1800400009
C03010340,1800400010
C08110470,1800400011
C09320450,1800400012
C06230260,1800400013
000008857040006583,1800400014
000008857040006583,1800400015
C02413110,1800400016
C08211360,1800400017
C08211370,1800400018
C04350180,1800400019
C07130460,1800400020
C08111000,1800400021
C03510750,1800400022
C03721230,1800400023
S8858741720235TH,1800400024
C02712310,1800400025
C02117520,1800400026
C05910620,1800700001
C05124150,1800700002
S8858741720235TH,1800700003
000208140700612652,1801100001
000208140800642752,1801100002
000208900704912652,1801100003
000208780701242752,1801100004
000208780801372492,1801100006
000208780801322412,1801100007
C08110800,18850290020047
C08130060,18850332141136
C06310430,18851907043237
C06213240,18851907093140
C05743600,18851907102903
C05750030,18851907110151
C08210920,18888336018307
C08210430,18888336018321
C08210940,18888336018604
C08210930,18888336018758
C08211420,1900200001
C11610460,1900400001
C06120260,1900400002
C01510500,1900400003
C01614460,1900400004
C08111020,1900400005
C05124220,1900400006
C03721100,1900400007
C08111010,1900400008
C05520150,1900400009
C11110030,1900400010
C03012760,1900400011
C02413160,1900400012
C04333400,1900400013
C04333760,1900400014
C02117550,1900400015
C05920260,1900700001
C03620070,1900700002
C03120090,19556781401201
C01622530,1PC9461A
C01611340,1PCB435A
C01612620,1pcb543a
C01613130,1PCE311A
C01613140,1PCE312A
C01613150,1PCE313A
C01612660,1PCE321A
C01612670,1PCE322A
C01612680,1PCE323A
C01613220,1pce411ac
C01612430,1PCE505A
C01613530,1PCF279A
C01613900,1PCF287A
C01624370,1PCZ107AA
C01624380,1PCZ108AA
C01624210,1PCZ637AA
C01624360,1PF6V26AA
C01624450,1PL0S63AA
C01624460,1PL0S66AA
C01624470,1PL0S69AA
C01624440,1PL0S72AA
