Bin ID,Product Code,Product Name,Unit,NS Code,NS Name,NS SubGroup,Quantity
OB_Non D2-1,C04220100,"กระดาษกาวย่น 3M 2214 แกน 3"" 24 มม.x25 ม.",EA,2CT-PS-02-014,"กระดาษกาวย่น Scotch 3M No.2214 แกน 3 "" 24 mmx25 m",DACT,0
OB_Non D2-2,C04210660,"เทปใส 500 1""x36Y แกน 1"" Plate(7 EA/P)",EA,2CT-PS-02-151,"เทปใส Scotch 3M No.500 แกน 1"" 1""x36 หลา",DACT,154
OB_Non D3-1,C04220470,"กระดาษกาวย่น 3M 2214 แกน 3"" 18มม.x25หลา",EA,2CT-PS-02-015,"กระดาษกาวย่น Scotch 3M No.2214 แกน 3"" 18 mmx25 หลา",DACT,56
OB_Non D3-2,C04120210,กาวน้ำหัวฟองน้ำ เบนนอน ขนาด 50 ml,EA,2CT-PS-01-002,กาวน้ำ เบนน่อน หัวฟองน้ำ 50 ml,DACT,25
OB_Non E2-2,C04245240,"เทปผ้า 3M มันเงา ขนาด 2"" X8Y สีน้ำเงิน",EA,2CT-PS-02-082,"เทปผ้า Scotch 3M 2""x8 หลา น้ำเงิน",DACT,32
OB_Non E3-2,C04243199,"เทปผ้า ใบโพธิ์ ขนาด 2""x8 หลา สีเขียว",EA,2CT-PS-02-112,"เทปผ้า ใบโพธิ์ 2""x8 หลา เขียว",DACT,37
OB_Non F1-1,C03330910,ไม้บรรทัดพลาสติก MasterArt MR12 12:P ธกส,EA,2CT-OS-05-008,ไม้บรรทัดพลาสติก Master Art MR12 12 นิ้ว,DACT,108
OB_Non F1-2,C03340920,กรรไกรอีซี่ No.E-607 7 นิ้ว,EA,2CT-OS-04-016,"กรรไกร อีซี่ E-607 7""",DACT,7
OB_Non F2-1,C03320680,ใบมีดคัตเตอร์ ตราม้า L 18 มม. 30องศา,EA,2CT-OS-04-023,ใบมีดคัตเตอร์ Horse 18 mm L 30 องศา P.6,DACT,8
OB_Non F2-2,C03210017,เครื่องเจาะกระดาษ คาร์ล 100 XL คละสี,EA,2CT-OS-03-005,เครื่องเจาะกระดาษ Carl 100 XL,DACT,2
OB_Non F3-1,C03823420,สันห่วงพลาสติก TMP 22 mm. ขาว 10 EA:P,EA,2CT-OS-10-066,สันห่วงพลาสติก TMP 22 mm ขาว P.10,DACT,100
OB_Non F3-2,C03823390,สันห่วงพลาสติก 19 mm. ดำ 10 EA:P,EA,2CT-OS-10-083,สันห่วงพลาสติก 19 mm ดำ P.10,DACT,120
OB_Non G1-1,C03030170,แท่นประทับตรา ตราม้า No.3 สีแดง,EA,2CT-OS-01-088,แท่นประทับตรา Horse No.3 แดง,DACT,16
OB_Non G1-2,C03920130,หมุดปักบอร์ด SDINo.0308A(1x100ตัว/กล่อง),EA,2CT-OS-09-021,"หมุดปัดบอร์ด SDI No,0308A P.100",DACT,9
OB_Non G2-1,C03120160,"ลวดเย็บกระดาษ MAX 3-1M 1,000 เข็ม",EA,2CT-OS-02-068,"ลวดเย็บกระดาษ MAX 3-1M 1,000 เข็ม",DACT,93
OB_Non G2-2,C03120170,"ลวดเย็บกระดาษ MAX 35-5M 5,000 เข็ม",EA,2CT-OS-02-070,"ลวดเย็บกระดาษ MAX 35-5M 5,000 เข็ม",DACT,26
OB_Non H1-1,C02213450,PEN HL สตาบิโล บอส :ฟ้าเทอร์คอยซ์(10:B),EA,2CT-WC-04-019,ปากกาไฮไลท์ STABILO BOSS ฟ้าเทอร์คอยซ์ P.10,DACT,27
